keyword bucket position_in_bucket
START -1 -1
DEF -1 -1
id 18 0
: -1 -1
NUMBER -1 -1
READ -1 -1
id 18 0
DEF -1 -1
id 0 0
: -1 -1
ARRAY -1 -1
[ -1 -1
id 18 0
] -1 -1
OF -1 -1
NUMBER -1 -1
; -1 -1
id 10 0
: -1 -1
NUMBER -1 -1
; -1 -1
id 9 0
: -1 -1
NUMBER -1 -1
ASSIGN -1 -1
id 10 0
: -1 -1
UNDEFINED -1 -1
ASSIGN -1 -1
id 9 0
: -1 -1
constant 8 0
WHILE -1 -1
id 9 0
< -1 -1
id 18 0
STARTWHILE -1 -1
READ -1 -1
id 0 0
[ -1 -1
id 9 0
] -1 -1
ASSIGN -1 -1
id 9 0
: -1 -1
( -1 -1
id 9 0
+ -1 -1
constant 9 1
) -1 -1
FINISHWHILE -1 -1
ASSIGN -1 -1
id 9 0
: -1 -1
constant 8 0
WHILE -1 -1
id 9 0
<= -1 -1
id 18 0
STARTWHILE -1 -1
IF -1 -1
id 10 0
=== -1 -1
UNDEFINED -1 -1
|| -1 -1
id 0 0
[ -1 -1
id 9 0
] -1 -1
> -1 -1
id 10 0
STARTIF -1 -1
ASSIGN -1 -1
id 10 0
: -1 -1
id 0 0
[ -1 -1
id 9 0
] -1 -1
FINISHIF -1 -1
ASSIGN -1 -1
id 9 0
: -1 -1
( -1 -1
id 9 0
+ -1 -1
constant 9 1
) -1 -1
FINISHWHILE -1 -1
PRINT -1 -1
( -1 -1
constant 0 1
+ -1 -1
id 10 0
) -1 -1
FINISH -1 -1
